time          	brand_name    	[MEDI]
230816_0024_18	hermes        	[DONE]
230816_0024_21	chanel        	[DONE]
230816_0024_23	dior          	[DONE]
230816_0024_26	louisvuitton  	[DONE]
230816_0024_29	gucci         	[DONE]
230816_0024_32	prada         	[DONE]
230816_0024_35	ysl           	[DONE]
230816_0024_38	celine        	[DONE]
230816_0024_41	valentino     	[DONE]
230816_0024_45	miumiu        	[DONE]
230816_0024_47	fendi         	[DONE]
